日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
2018/09/07,自營商,61637,334109,61952810,690650,61382,351542,64613505,738574,255,-17433,-2660695,-47924.0,79990,223888,37006820,572384,129201,197655,54197460,507256,-49211,26233,-17190640,65128
2018/09/07,投信,4,0,8675,0,691,0,1498683,0,-687,0,-1490008,0.0,5327,303,6601148,582,32906,499,64371491,3422,-27579,-196,-57770343,-2840
2018/09/07,外資及陸資,176211,115364,216051809,394271,177324,126459,218893154,418827,-1113,-11095,-2841345,-24556.0,115586,164080,177586353,422309,62235,186646,70933468,421459,53351,-22566,106652885,850
2018/09/10,自營商,67028,446233,72380674,825279,70884,488406,74654988,937688,-3856,-42173,-2274314,-112409.0,75972,244063,33691736,595735,129039,260008,52838158,613175,-53067,-15945,-19146422,-17440
2018/09/10,投信,5,0,10792,0,252,0,541035,0,-247,0,-530243,0.0,5319,303,6521067,1067,33145,499,64243554,2233,-27826,-196,-57722487,-1166
2018/09/10,外資及陸資,191631,135521,224876086,447977,206058,142715,252755364,454481,-14427,-7194,-27879278,-6504.0,107750,168328,160482773,467413,65226,198088,82640713,514176,42524,-29760,77842060,-46763
2018/09/11,自營商,58587,357325,55475092,596011,56527,377327,53448088,637633,2060,-20002,2027004,-41622.0,75236,232859,34070972,511013,126534,268755,51197833,578527,-51298,-35896,-17126861,-67514
2018/09/11,投信,829,20,1781022,3,375,0,798140,0,454,20,982882,3.0,5127,303,6111338,836,32499,479,62880007,2186,-27372,-176,-56768669,-1350
2018/09/11,外資及陸資,161431,107094,194668073,337859,171491,113579,207746095,343260,-10060,-6485,-13078022,-5401.0,100628,169236,149355553,442897,68164,205471,84604207,482932,32464,-36235,64751346,-40035
2018/09/12,自營商,62804,505953,66457719,739749,62054,537585,65642023,795684,750,-31632,815696,-55935.0,77082,179409,35404686,395480,127721,204872,51643525,521477,-50639,-25463,-16238839,-125997
2018/09/12,投信,556,204,875710,176,242,195,519541,913,314,9,356169,-737.0,5179,295,6214080,365,32237,462,62536627,1922,-27058,-167,-56322547,-1557
2018/09/12,外資及陸資,153127,136610,178301593,358138,159969,135869,187519840,349583,-6842,741,-9218247,8555.0,95326,160977,140030432,427031,69611,199398,84597604,438801,25715,-38421,55432828,-11770
2018/09/13,自營商,52001,238530,52443332,459793,50999,247880,49503669,487344,1002,-9350,2939663,-27551.0,77191,195948,37484863,391659,127776,230691,50729142,537162,-50585,-34743,-13244279,-145503
2018/09/13,投信,456,0,970765,0,317,0,670583,0,139,0,300182,0.0,5316,295,6509165,246,32235,462,62479538,1729,-26919,-167,-55970373,-1483
2018/09/13,外資及陸資,147472,75869,172759868,244506,152909,81847,182276763,252320,-5437,-5978,-9516895,-7814.0,93554,164540,136864055,405299,70876,208939,91023147,409377,22678,-44399,45840908,-4078
2018/09/14,自營商,65720,347742,68142499,586863,58331,324756,65064509,493405,7389,22986,3077990,93458.0,79309,218720,38305905,439839,122406,230400,48692771,475317,-43097,-11680,-10386866,-35478
2018/09/14,投信,6583,94,12830238,311,5505,126,10478288,12,1078,-32,2351950,299.0,5419,263,6825939,302,31260,462,61295855,3120,-25841,-199,-54469916,-2818
2018/09/14,外資及陸資,173710,102150,223995716,269622,157650,96979,196131199,266781,16060,5171,27864517,2841.0,105802,168268,165578050,313650,69278,207496,90888756,285205,36524,-39228,74689294,28445
2018/09/17,自營商,48970,209914,49369615,325912,46630,233396,46545975,408011,2340,-23482,2823640,-82099.0,82452,220912,41686465,385558,123155,256094,49221420,514379,-40703,-35182,-7534955,-128821
2018/09/17,投信,16843,282,33914299,27,16872,340,33389407,629,-29,-58,524892,-602.0,5623,201,7230091,356,31505,458,60928571,3132,-25882,-257,-53698480,-2776
2018/09/17,外資及陸資,140881,71563,183293227,213650,157171,79022,207643649,215430,-16290,-7459,-24350422,-1780.0,97336,170586,153804237,305575,77084,217272,103801651,286937,20252,-46686,50002586,18638
2018/09/18,自營商,62984,300190,69682400,432804,68946,286814,77814708,387457,-5962,13376,-8132308,45347.0,77978,232371,36421804,395199,124235,254312,51918643,492624,-46257,-21941,-15496839,-97425
2018/09/18,投信,13261,0,21038885,0,13426,34,21450799,10,-165,-34,-411914,-10.0,5577,170,7116766,419,31624,461,61007411,2606,-26047,-291,-53890645,-2187
2018/09/18,外資及陸資,185320,98059,256793035,264149,180735,97562,251752965,286082,4585,497,5040070,-21933.0,93816,178241,145971721,322725,68973,224248,91217847,328712,24843,-46007,54753874,-5987
2018/09/19,自營商,66780,355581,65264957,441663,68905,322660,69676458,356948,-2125,32921,-4411501,84715.0,45484,82848,22159452,198671,84092,102099,34969015,212323,-38608,-19251,-12809563,-13652
2018/09/19,投信,702,195,1520237,81,248,1076,533364,2349,454,-881,986873,-2268.0,5535,289,7090336,316,31164,1281,60552283,2436,-25629,-992,-53461947,-2120
2018/09/19,外資及陸資,119861,98754,147234649,237388,106368,94864,128897386,226032,13493,3890,18337263,11356.0,76035,65027,122713090,182161,42561,57200,54971000,191421,33474,7827,67742090,-9260
2018/09/20,自營商,40897,220269,42285557,479900,43168,240929,43280552,511950,-2271,-20660,-994995,-32050.0,47357,118400,23733014,307546,87522,158309,37474058,326335,-40165,-39909,-13741044,-18789
2018/09/20,投信,77,0,167084,0,30,180,65121,3396,47,-180,101963,-3396.0,5588,289,7188477,313,31170,1461,60416605,5972,-25582,-1172,-53228128,-5659
2018/09/20,外資及陸資,122237,52899,143419020,173431,133046,60053,159476394,190608,-10809,-7154,-16057374,-17177.0,72111,70922,113521890,191472,49437,70249,61993599,213092,22674,673,51528291,-21620
2018/09/21,自營商,49360,293182,53117301,558750,44643,269756,47735806,452581,4717,23426,5381495,106169.0,54019,139865,28312738,331882,89449,156524,36838207,328050,-35430,-16659,-8525469,3832
2018/09/21,投信,513,0,1124905,0,193,1120,152227,4277,320,-1120,972678,-4277.0,5569,289,7256399,165,30831,2581,60116195,9495,-25262,-2292,-52859796,-9330
2018/09/21,外資及陸資,149835,77257,178491446,238826,137850,71641,161885584,224586,11985,5616,16605862,14240.0,83480,79299,128616344,196093,48833,73010,59809329,230698,34647,6289,68807015,-34605
2018/09/25,自營商,36967,264495,36795119,379165,37434,264874,36259070,367360,-467,-379,536049,11805.0,56252,160627,30442207,335130,92164,177640,38422424,328975,-35912,-17013,-7980217,6155
2018/09/25,投信,36,1000,79056,123,12,1100,26331,3384,24,-100,52725,-3261.0,5584,289,7287748,130,30822,2681,60131646,12048,-25238,-2392,-52843898,-11918
2018/09/25,外資及陸資,105023,67446,113155333,186901,100235,60003,106066528,158877,4788,7443,7088805,28024.0,87063,90237,133740509,203615,49815,76505,57787561,210573,37248,13732,75952948,-6958
2018/09/26,自營商,39162,310305,38796408,419006,38195,329647,38088373,437716,967,-19342,708035,-18710.0,57451,103599,29211885,299546,92715,139726,36491782,288167,-35264,-36127,-7279897,11379
2018/09/26,投信,18,196,39496,59,22,217,46198,5,-4,-21,-6702,54.0,5582,292,7284274,186,30824,2685,60103511,11672,-25242,-2393,-52819237,-11486
2018/09/26,外資及陸資,100574,94887,110493725,214940,102464,90636,113271378,218916,-1890,4251,-2777653,-3976.0,87024,88667,131297355,190768,51586,69105,58151062,209056,35438,19562,73146293,-18288
2018/09/27,自營商,41965,275433,42874797,445857,41689,263418,42118657,429508,276,12015,756140,16349.0,61099,147641,32699194,360025,96096,171682,39238006,329204,-34997,-24041,-6538812,30821
2018/09/27,投信,16,0,34713,0,75,0,164698,0,-59,0,-129985,0.0,5511,292,7132715,151,30812,2685,60131581,11137,-25301,-2393,-52998866,-10986
2018/09/27,外資及陸資,126087,55906,151526831,179699,118133,52608,137089816,155345,7954,3298,14437015,24354.0,91907,102559,141500943,214780,48542,79699,53814300,209313,43365,22860,87686643,5467
2018/09/28,自營商,52315,291937,55086948,547313,50662,318062,54640331,573256,1653,-26125,446617,-25943.0,63162,161959,33838248,400978,96602,212108,39946041,373411,-33440,-50149,-6107793,27567
2018/09/28,投信,8,0,17563,0,367,0,801715,0,-359,0,-784152,0.0,5417,292,6912561,140,31077,2685,60569005,10609,-25660,-2393,-53656444,-10469
2018/09/28,外資及陸資,139977,67803,167221334,221768,149820,73227,181272524,227862,-9843,-5424,-14051190,-6094.0,87375,106371,135038241,214042,53871,88935,61586151,206860,33504,17436,73452090,7182
2018/10/01,自營商,35194,219683,35938807,371521,35686,205159,33569990,331106,-492,14524,2368817,40415.0,65694,191556,38809426,449006,99620,227147,42598283,395043,-33926,-35591,-3788857,53963
2018/10/01,投信,44,0,96822,0,0,4,0,0,44,-4,96822,0.0,5445,292,7004150,89,31061,2689,60812437,9721,-25616,-2397,-53808287,-9632
2018/10/01,外資及陸資,90185,33879,101069751,103203,82885,35804,89928502,105439,7300,-1925,11141249,-2236.0,91768,110859,141158390,220945,50964,95348,56205816,225204,40804,15511,84952574,-4259
2018/10/02,自營商,51005,341616,55288306,518678,58048,385711,59548042,598960,-7043,-44095,-4259736,-80282.0,62444,177867,36990388,441713,102549,257512,44941819,425000,-40105,-79645,-7951431,16713
2018/10/02,投信,13,0,28354,0,491,0,1068455,0,-478,0,-1040101,0.0,5406,292,6832859,149,31500,2689,61051518,11943,-26094,-2397,-54218659,-11794
2018/10/02,外資及陸資,116575,89861,136930049,255646,136512,96315,171104611,279414,-19937,-6454,-34174562,-23768.0,84337,113219,124499578,228547,60212,104162,74534530,240483,24125,9057,49965048,-11936
