日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
2020/01/02,自營商,42276,371955,48565572,554100,40637,371616,43289054,590279,1639,339,5276518,-36179.0,42239,134485,37701270,460308,105254,143343,45639203,838148,-63015,-8858,-7937933,-377840
2020/01/02,投信,1647,64,3986158,14,150,68,90680,0,1497,-4,3895478,14.0,4591,100,5602277,49,29335,120,63615057,611,-24744,-20,-58012780,-562
2020/01/02,外資及陸資,118017,135564,134606955,307120,115006,123320,135982330,302152,3011,12244,-1375375,4968.0,96305,60558,169677056,932801,89338,65226,84919674,498636,6967,-4668,84757382,434165
2020/01/03,自營商,65152,395768,78615055,939389,64325,386183,75386211,928260,827,9585,3228844,11129.0,42622,171873,38034459,552475,104759,171054,42700953,908752,-62137,819,-4666494,-356277
2020/01/03,投信,42,0,101314,0,61,0,145265,0,-19,0,-43951,0.0,4559,100,5519627,63,29322,120,63517357,543,-24763,-20,-57997730,-480
2020/01/03,外資及陸資,195513,184672,242173651,644560,196479,189774,244601765,650741,-966,-5102,-2428114,-6181.0,95478,77042,168927613,991754,89477,86812,86604935,569718,6001,-9770,82322678,422036
2020/01/06,自營商,41328,310825,43079157,618101,46129,317939,50531232,574677,-4801,-7114,-7452075,43424.0,41703,200079,36023377,614014,108641,206324,47975898,884436,-66938,-6245,-11952521,-270422
2020/01/06,投信,20,0,47933,0,251,0,600109,0,-231,0,-552176,0.0,4536,100,5402692,113,29530,120,63278346,236,-24994,-20,-57875654,-123
2020/01/06,外資及陸資,149333,144318,181223773,428268,156033,148847,189812357,471764,-6700,-4529,-8588584,-43496.0,93926,88803,162884575,920896,94625,103102,90082241,615841,-699,-14299,72802334,305055
2020/01/07,自營商,59960,514670,70083403,984471,59570,535958,71104137,1013881,390,-21288,-1020734,-29410.0,42450,203109,35962169,643823,108860,230526,48723152,913005,-66410,-27417,-12760983,-269182
2020/01/07,投信,981,0,1455987,0,356,0,825228,0,625,0,630759,0.0,4512,100,5328891,135,28881,120,62186359,109,-24369,-20,-56857468,26
2020/01/07,外資及陸資,190683,230295,225589637,695261,194733,233399,233658845,690459,-4050,-3104,-8069208,4802.0,90463,91768,153900045,902765,95248,109237,89657626,626808,-4785,-17469,64242419,275957
2020/01/08,自營商,69908,578220,74592982,1137997,73260,566388,77748114,1072631,-3352,11832,-3155132,65366.0,43814,174947,33381300,610528,113715,156972,49176881,764536,-69901,17975,-15795581,-154008
2020/01/08,投信,0,69,0,113,325,66,766802,13,-325,3,-766802,100.0,4505,100,5275495,299,29199,117,62502141,34,-24694,-17,-57226646,265
2020/01/08,外資及陸資,215592,313319,264501283,830070,202285,320153,245776307,813003,13307,-6834,18724976,17067.0,97811,83291,164622335,911641,89342,104552,82050782,634844,8469,-21261,82571553,276797
2020/01/09,自營商,56950,239515,59787560,599151,52766,231520,56554276,553061,4184,7995,3233284,46090.0,50185,201389,41206640,580771,115740,175391,54072015,763565,-65555,25998,-12865375,-182794
2020/01/09,投信,938,0,2032763,0,302,0,720165,0,636,0,1312598,0.0,4523,100,5398141,75,28581,117,62195363,119,-24058,-17,-56797222,-44
2020/01/09,外資及陸資,164104,125383,205516910,460296,157558,122973,198401508,461161,6546,2410,7115402,-865.0,102585,100059,175637016,938392,87615,118910,84575138,605278,14970,-18851,91061878,333114
2020/01/10,自營商,44670,219415,48559368,475888,41428,229753,46122683,493857,3242,-10338,2436685,-17969.0,51375,213148,42096658,599188,113736,197499,52580586,805507,-62361,15649,-10483928,-206319
2020/01/10,投信,4041,0,8284572,0,6304,0,13262549,0,-2263,0,-4977977,0.0,4550,100,5480372,57,30871,117,67461341,158,-26321,-17,-61980969,-101
2020/01/10,外資及陸資,159561,111859,216558319,372851,159867,113744,213377688,403876,-306,-1885,3180631,-31025.0,107486,117889,190984767,1002790,92849,138625,96403937,695806,14637,-20736,94580830,306984
2020/01/13,自營商,56123,330737,63919141,524019,54790,309833,63659208,487968,1333,20904,259933,36051.0,51558,243689,40813572,590359,112589,207090,51191084,802513,-61031,36599,-10377512,-212154
2020/01/13,投信,14664,16,32915579,60,15189,19,34138223,1,-525,-3,-1222644,59.0,4552,97,5529237,64,31398,117,69258995,133,-26846,-20,-63729758,-69
2020/01/13,外資及陸資,196544,147622,283797848,459427,189290,147585,274361817,447651,7254,37,9436031,11776.0,117124,122061,211656115,1017507,95242,142760,106768766,688385,21882,-20699,104887349,329122
2020/01/14,自營商,62868,283217,68249550,419430,64203,269728,69242709,430562,-1335,13489,-993159,-11132.0,51701,265452,39978460,643222,111880,215254,51496392,878123,-60179,50198,-11517932,-234901
2020/01/14,投信,14198,58,26718729,77,13919,8,25995226,0,279,50,723503,77.0,4566,97,5582278,86,31133,67,68914511,193,-26567,30,-63332233,-107
2020/01/14,外資及陸資,159100,108545,218549313,335783,163892,114862,225896117,310006,-4792,-6317,-7346804,25777.0,111936,129268,202394202,1103018,94824,156284,104286836,759603,17112,-27016,98107366,343415
2020/01/15,自營商,71374,373142,84491884,567493,74020,419762,85034541,618370,-2646,-46620,-542657,-50877.0,34442,135049,29511659,473326,83998,100144,37983105,685909,-49556,34905,-8471446,-212583
2020/01/15,投信,1470,139,3095325,154,56,138,134949,143,1414,1,2960376,11.0,4554,96,5501237,252,29689,65,65327120,127,-25135,31,-59825883,125
2020/01/15,外資及陸資,147739,166062,204166548,401977,156735,171176,212112297,390885,-8996,-5114,-7945749,11092.0,89629,66505,162665734,898532,74116,79410,73300946,564240,15513,-12905,89364788,334292
2020/01/16,自營商,33910,140744,35176877,406487,35719,140183,33795674,397793,-1809,561,1381203,8694.0,37201,164661,31262296,535216,88689,129211,38371200,744669,-51488,35450,-7108904,-209453
2020/01/16,投信,829,0,1997786,0,27,0,54043,0,802,0,1943743,0.0,4564,96,5533549,236,28897,65,63400771,124,-24333,31,-57867222,112
2020/01/16,外資及陸資,129263,68333,153441781,253346,137728,74015,167383463,281614,-8465,-5682,-13941682,-28268.0,89709,74878,157737996,919350,82661,93465,82376074,612788,7048,-18587,75361922,306562
2020/01/17,自營商,35264,157466,36925500,421654,37511,157155,37100267,430738,-2247,311,-174767,-9084.0,38617,186931,32567159,567345,92493,151164,39824683,794810,-53876,35767,-7257524,-227465
2020/01/17,投信,1,0,2414,0,0,0,0,0,1,0,2414,0.0,4565,96,5544744,196,28897,65,63496052,122,-24332,31,-57951308,74
2020/01/17,外資及陸資,133977,69060,156046797,253333,132828,73908,154268480,262978,1149,-4848,1778317,-9645.0,90899,78677,156805977,923020,82693,102112,79606507,618331,8206,-23435,77199470,304689
2020/01/20,自營商,32618,151359,30748668,365331,35690,148807,29843300,349306,-3072,2552,905368,16025.0,38977,205144,34296041,592789,95943,166716,40666966,818110,-56966,38428,-6370925,-225321
2020/01/20,投信,537,0,1300647,0,22,4,52403,12,515,-4,1248244,-12.0,4551,96,5530269,154,28368,65,62425918,143,-23817,31,-56895649,11
2020/01/20,外資及陸資,101887,57379,110813563,193919,101196,60126,111003493,207515,691,-2747,-189930,-13596.0,91225,83724,159324993,941760,82325,109906,82049924,637174,8900,-26182,77275069,304586
2020/01/30,自營商,97257,688389,108181936,2111362,101146,777681,113246019,2289891,-3889,-89292,-5064083,-178529.0,41534,172574,34953133,1211223,102537,169983,45760203,1131958,-61003,2591,-10807070,79265
2020/01/30,投信,129,148,296911,306,2660,148,6069153,1625,-2531,0,-5772242,-1319.0,4600,99,5277245,846,30948,68,64480192,136,-26348,31,-59202947,710
2020/01/30,外資及陸資,265558,164526,331484478,710408,290191,186213,366451532,670173,-24633,-21687,-34967054,40235.0,87732,86434,143841636,1301390,98064,122101,105282314,1414597,-10332,-35667,38559322,-113207
2020/01/31,自營商,68153,350616,62542436,1145146,67234,334224,61984892,1097863,919,16392,557544,47283.0,41624,229345,33758739,1150178,101888,210367,44100404,1100327,-60264,18978,-10341665,49851
2020/01/31,投信,1044,6,2397265,25,52,8,117322,144,992,-2,2279943,-119.0,4580,97,5249925,420,29936,68,62603425,146,-25356,29,-57353500,274
2020/01/31,外資及陸資,262406,142856,311912918,535549,238980,119494,279399808,479146,23426,23362,32513110,56403.0,98995,120671,159235728,1246217,85953,133056,87913983,1235131,13042,-12385,71321745,11086
2020/02/03,自營商,84811,458560,84654496,1624438,82164,490185,82851107,1682924,2647,-31625,1803389,-58486.0,45869,248789,39857391,1406573,103648,261491,48291936,1324586,-57779,-12702,-8434545,81987
2020/02/03,投信,773,4,1744925,5,832,4,1639367,107,-59,0,105558,-102.0,4646,93,5521376,535,30061,64,62045035,82,-25415,29,-56523659,453
2020/02/03,外資及陸資,323806,232652,379598954,951642,324217,232121,378433920,960549,-411,531,1165034,-8907.0,95218,140524,154411115,1487980,85287,152378,82754036,1588600,9931,-11854,71657079,-100620
2020/02/04,自營商,66161,454412,67835865,985327,58042,428909,61117232,904480,8119,25503,6718633,80847.0,47680,275083,40663059,1228148,97445,262348,42538929,1238748,-49765,12735,-1875870,-10600
2020/02/04,投信,2486,0,5736515,0,9,0,20725,0,2477,0,5715790,0.0,4680,93,5715813,176,27615,64,57572591,150,-22935,29,-51856778,26
2020/02/04,外資及陸資,211884,192443,247225070,645475,205740,188423,240890420,625107,6144,4020,6334650,20368.0,96795,146051,155954690,1283297,80684,153885,76583462,1197765,16111,-7834,79371228,85532
2020/02/05,自營商,78216,609775,77465999,1220396,77650,603668,81173198,1147214,566,6107,-3707199,73182.0,47617,229916,38145831,1154607,97033,199411,43690409,1117998,-49416,30505,-5544578,36609
2020/02/05,投信,88,68,201289,175,387,71,893102,47,-299,-3,-691813,128.0,4629,90,5602585,285,27869,64,58201365,134,-23240,26,-52598780,151
2020/02/05,外資及陸資,221964,280448,253857348,770090,219678,275770,250160994,765540,2286,4678,3696354,4550.0,99953,133322,159673379,1234496,81581,142455,76575455,1143859,18372,-9133,83097924,90637
2020/02/06,自營商,55471,306950,55480578,885660,51899,297494,50130076,850667,3572,9456,5350502,34993.0,50098,258715,41842327,1114076,96008,218890,42151466,1210880,-45910,39825,-309139,-96804
2020/02/06,投信,864,0,2027828,0,308,50,715648,220,556,-50,1312180,-220.0,4648,90,5748067,94,27332,114,57933218,610,-22684,-24,-52185151,-516
2020/02/06,外資及陸資,197658,139784,232315812,538870,190500,136316,225714114,511656,7158,3468,6601698,27214.0,101183,144753,164048654,1209638,76550,150418,72816149,924400,24633,-5665,91232505,285238
2020/02/07,自營商,44587,250962,42951092,705459,50024,262952,47304305,752530,-5437,-11990,-4353213,-47071.0,50013,278660,40718878,1222324,101267,250897,45323628,1242320,-51254,27763,-4604750,-19996
2020/02/07,投信,209,0,484454,0,131,0,304209,0,78,0,180245,0.0,4607,90,5585793,168,27213,114,56918407,285,-22606,-24,-51332614,-117
2020/02/07,外資及陸資,172386,136270,210527433,505849,180254,129576,216040858,474104,-7868,6694,-5513425,31745.0,94489,165961,152777732,1316654,77724,164891,68188438,1129027,16765,1070,84589294,187627
2020/02/10,自營商,59442,362508,61374231,968188,60723,376130,61198222,1019000,-1281,-13622,176009,-50812.0,50330,293488,41452256,1207232,102679,279429,45871126,1258525,-52349,14059,-4418870,-51293
2020/02/10,投信,724,0,1674947,0,46,0,100059,0,678,0,1574888,0.0,4591,90,5543945,123,26519,114,55197821,211,-21928,-24,-49653876,-88
2020/02/10,外資及陸資,215451,192907,257430113,699430,217933,191168,258941511,689498,-2482,1739,-1511398,9932.0,96233,176547,154755650,1306828,81938,173673,71831474,1132769,14295,2874,82924176,174059
