"110年09月 2330 台積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/09/01","31,242,788","19,126,702,297","614.00","614.00","608.00","613.00","-1.00","30,125",
"110/09/02","26,715,492","16,341,803,689","613.00","615.00","607.00","607.00","-6.00","26,153",
"110/09/03","53,915,006","33,278,648,609","610.00","620.00","610.00","620.00","+13.00","62,288",
"110/09/06","59,223,061","37,250,623,087","623.00","638.00","621.00","631.00","+11.00","77,024",
"110/09/07","27,422,775","17,191,259,166","634.00","634.00","623.00","623.00","-8.00","29,823",
"110/09/08","38,713,621","23,960,375,113","622.00","627.00","612.00","619.00","-4.00","38,267",
"110/09/09","19,309,522","11,886,107,760","612.00","620.00","610.00","619.00"," 0.00","19,569",
"110/09/10","16,740,439","10,365,721,937","615.00","623.00","614.00","622.00","+3.00","17,067",
"110/09/13","15,809,768","9,734,528,161","619.00","620.00","613.00","615.00","-7.00","21,779",
"110/09/14","16,024,935","9,849,961,184","618.00","618.00","612.00","613.00","-2.00","13,569",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

